time,x,y,z
1751971114.84896,-0.008737229,-0.042816473,0.07687695
1751971114.85695,-0.008843303,-0.042804449,0.07686191
1751971114.86496,-0.008879016,-0.042798508,0.076858511
1751971114.873,-0.008879016,-0.042798508,0.076858511
1751971114.88097,-0.008881283,-0.042779456,0.076859277
1751971114.88895,-0.008949368,-0.042775086,0.076807434
1751971114.89697,-0.008949368,-0.042775086,0.076807434
1751971114.90495,-0.009009704,-0.042769607,0.076812388
1751971114.91302,-0.009097955,-0.04272532,0.076814618
1751971114.92092,-0.009112099,-0.042726334,0.076826986
1751971114.92895,-0.009112099,-0.042726334,0.076826986
1751971114.93697,-0.009191246,-0.042716434,0.076845579
1751971114.94498,-0.009216969,-0.042704956,0.076836366
1751971114.95298,-0.009216969,-0.042704956,0.076836366
1751971114.96099,-0.009266497,-0.042698754,0.076840308
1751971114.96895,-0.009291192,-0.042681803,0.076832909
1751971114.97697,-0.009291192,-0.042681803,0.076832909
1751971114.98496,-0.00932566,-0.042672353,0.076845541
1751971114.99299,-0.009307896,-0.042685079,0.076857544
1751971115.00095,-0.009352814,-0.042655181,0.07686319
1751971115.00899,-0.009352814,-0.042655181,0.07686319
1751971115.01692,-0.009401444,-0.042647984,0.076868318
1751971115.02495,-0.009362288,-0.042670826,0.076852755
1751971115.03297,-0.009394261,-0.042658206,0.076840103
1751971115.04096,-0.009394261,-0.042658206,0.076840103
1751971115.04897,-0.009493855,-0.042639626,0.076843141
1751971115.05696,-0.009469194,-0.042649112,0.076833893
1751971115.06497,-0.009469194,-0.042649112,0.076833893
1751971115.07297,-0.00948479,-0.042647649,0.076820205
1751971115.081,-0.009531757,-0.042627745,0.076799237
1751971115.08899,-0.009531757,-0.042627745,0.076799237
1751971115.09697,-0.009444259,-0.042657681,0.07680927
1751971115.10495,-0.009496047,-0.042636981,0.076865159
1751971115.11297,-0.00956146,-0.042623418,0.076847237
1751971115.12096,-0.00956146,-0.042623418,0.076847237
1751971115.12896,-0.009586713,-0.042620693,0.076823265
1751971115.13695,-0.009528993,-0.042612013,0.076841023
1751971115.14495,-0.009546963,-0.042633521,0.076774494
1751971115.15298,-0.009546963,-0.042633521,0.076774494
1751971115.16096,-0.009568364,-0.042614773,0.076825965
1751971115.16897,-0.009576385,-0.042618762,0.076839092
1751971115.17696,-0.009595071,-0.042619525,0.076813486
1751971115.18494,-0.009595071,-0.042619525,0.076813486
1751971115.19303,-0.009599991,-0.042617802,0.076819784
1751971115.20098,-0.009582662,-0.042619371,0.076838116
1751971115.20901,-0.009582662,-0.042619371,0.076838116
1751971115.21697,-0.009537224,-0.042634983,0.076814254
1751971115.22498,-0.009579088,-0.042622895,0.076821869
1751971115.23299,-0.009555884,-0.042626447,0.076837344
1751971115.24103,-0.009555884,-0.042626447,0.076837344
1751971115.24896,-0.009641604,-0.042608083,0.076813003
1751971115.25699,-0.009649522,-0.042605082,0.076818921
1751971115.26502,-0.009585037,-0.042602647,0.076853721
1751971115.27303,-0.009585037,-0.042602647,0.076853721
1751971115.28098,-0.009600811,-0.04261248,0.076834714
1751971115.28898,-0.009628676,-0.04260653,0.076840213
1751971115.29696,-0.009628676,-0.04260653,0.076840213
1751971115.30502,-0.009670512,-0.042594462,0.07685079
1751971115.31297,-0.009615475,-0.04260124,0.076853174
1751971115.32096,-0.009615475,-0.04260124,0.076853174
1751971115.32896,-0.009640508,-0.042580423,0.076817529
1751971115.33698,-0.009639926,-0.042599977,0.076823368
1751971115.34496,-0.009589422,-0.042608785,0.076839256
1751971115.35296,-0.009589422,-0.042608785,0.076839256
1751971115.36095,-0.009640424,-0.042604284,0.076827671
1751971115.36899,-0.009721129,-0.042554682,0.076829245
1751971115.37703,-0.009721129,-0.042554682,0.076829245
